Unnamed: 0,type,age,gender,size,coat,breed
429,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
430,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
431,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
432,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
433,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
434,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Shorthair,American Bobtail
435,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
436,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
437,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
438,Abyssinian,American Shorthair,Abyssinian,American Curl,American Shorthair,American Bobtail
439,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
440,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
441,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
442,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
443,Abyssinian,American Bobtail,Abyssinian,American Shorthair,American Shorthair,American Bobtail
445,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
446,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
447,Abyssinian,American Bobtail,American Bobtail,American Curl,American Bobtail,American Bobtail
449,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
450,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
451,Abyssinian,American Shorthair,Abyssinian,American Bobtail,American Bobtail,American Bobtail
452,Abyssinian,Abyssinian,American Bobtail,American Bobtail,American Shorthair,American Bobtail
453,Abyssinian,Abyssinian,Abyssinian,American Curl,American Shorthair,American Bobtail
454,Abyssinian,Abyssinian,American Bobtail,American Curl,American Shorthair,American Bobtail
455,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
456,Abyssinian,American Bobtail,Abyssinian,American Curl,American Shorthair,American Bobtail
457,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
458,Abyssinian,Abyssinian,Abyssinian,American Shorthair,American Shorthair,American Bobtail
459,Abyssinian,American Curl,American Bobtail,American Curl,American Shorthair,American Bobtail
460,Abyssinian,American Bobtail,American Bobtail,American Curl,American Shorthair,American Bobtail
